Q,A
 모방한 모티브가 곳곳에 사용된 모습이다, 모방한 모티브가 곳곳에 사용된 모습입니다
사용해서 제거했다,사용해서 제거했습니다
데 적합한 연구방법론이다,데 적합한 연구방법론입니다
으로 구분하여 지정하고 있다,으로 구분하여 지정하고 있습니다
 탔다, 탔습니다
다,습니다
및 참여관찰 내용은 아래와 같다,및 참여관찰 내용은 아래와 같습니다
 없는 사랑에 대한 간절함을 담고 있다, 없는 사랑에 대한 간절함을 담고 있습니다
는 전문적인 통증치료와 증상치료를 희망한다,는 전문적인 통증치료와 증상치료를 희망합니다
의 대명사가 되었다,의 대명사가 되었습니다
를 차지하는 것으로 나타나 있다,를 차지하는 것으로 나타나 있습니다
 더 복잡하다, 더 복잡합니다
정답이 없다,정답이 없습니다
 충분히 뒷받침할 수 없다, 충분히 뒷받침할 수 없습니다
우에도 표절의 대상이 될 수 있다,우에도 표절의 대상이 될 수 있습니다
 장치이다, 장치입니다
 최대주의적 민주주의를 추구하는 것이다, 최대주의적 민주주의를 추구하는 것입니다
의 옷에 축원하고 가족에게 돌려준다,의 옷에 축원하고 가족에게 돌려줍니다
계로 나누는 설명이 일반적이다,계로 나누는 설명이 일반적입니다
료비 처방조제비는 별도로 계산된다,료비 처방조제비는 별도로 계산됩니다
작업이 필요한 분야 하나가 기상 예측이다,작업이 필요한 분야 하나가 기상 예측입니다
다는 사실이다,다는 사실입니다
명확히 제시되어야 한다,명확히 제시되어야 합니다
는 문제점이 있다,는 문제점이 있습니다
정된 토지를 일컫는 것이다,정된 토지를 일컫는 것입니다
을 미치지 않는 것으로 나타나 기각되었다,을 미치지 않는 것으로 나타나 기각되었습니다
 즉시 물건의 외적 모습으로 변화된다, 즉시 물건의 외적 모습으로 변화됩니다
위반에 대한 제재가 필요하다,위반에 대한 제재가 필요합니다
 수준의 국가 교육과정 분석이 이루어졌다, 수준의 국가 교육과정 분석이 이루어졌습니다
표와도 깊은 관련성이 있다,표와도 깊은 관련성이 있습니다
 폭을 심화하고자 노력하였다, 폭을 심화하고자 노력하였습니다
입게 된다,입게 됩니다
계 내용을 포함하고 있다,계 내용을 포함하고 있습니다
인력 제공을 바탕으로 꾸준하게 성장하고 있다,인력 제공을 바탕으로 꾸준하게 성장하고 있습니다
스러운 행동으로 인식하였다,스러운 행동으로 인식하였습니다
 인센티브를 부여하였다, 인센티브를 부여하였습니다
08년부터 시작이 되었다,08년부터 시작이 되었습니다
러났다,러났습니다
않는다,않습니다
로 표현해가는 사고 과정이라고 할 수 있다,로 표현해가는 사고 과정이라고 할 수 있습니다
청구권을 구별한다,청구권을 구별합니다
 큰 비중을 차지한다, 큰 비중을 차지합니다
으면서 그 한계와 대안 모색으로 이어진다,으면서 그 한계와 대안 모색으로 이어집니다
발표하는 것으로 워크숍을 마무리하였다,발표하는 것으로 워크숍을 마무리하였습니다
한 답을 찾는 공간이 될 것이다,한 답을 찾는 공간이 될 것입니다
,
지원을 강조하기 때문에 나타난 결과이다,지원을 강조하기 때문에 나타난 결과입니다
하는지에 관한 상세한 논의는 너무 기술적이다,하는지에 관한 상세한 논의는 너무 기술적입니다
발에 박차를 가하였다,발에 박차를 가하였습니다
 과제와 의무가 있다는 것을 규정하고 있다, 과제와 의무가 있다는 것을 규정하고 있습니다
 신뢰의 총체라고 주장하였다, 신뢰의 총체라고 주장하였습니다
름 속에서 확인할 수 있다,름 속에서 확인할 수 있습니다
 있고 받을 수도 있다, 있고 받을 수도 있습니다
에 의하여 가정법원이 이를 연장할 수 있다,에 의하여 가정법원이 이를 연장할 수 있습니다
임방법에 대한 규정은 없다,임방법에 대한 규정은 없습니다
착오가 있는 경우의 요건과 유사하다,착오가 있는 경우의 요건과 유사합니다
 기각하는 요인이 된다, 기각하는 요인이 됩니다
테이션을 활용하도록 하는가,테이션을 활용하도록 하는가
절반이 완전히 뒤덮인다,절반이 완전히 뒤덮입니다
수 있음을 의미한다,수 있음을 의미합니다
스프레드의 예측력이 커진 것으로 나타났다,스프레드의 예측력이 커진 것으로 나타났습니다
분기 연속 상승세를 보인다,분기 연속 상승세를 보입니다
질지 알지 못한다,질지 알지 못합니다
 점유하는 것을 뜻한다, 점유하는 것을 뜻합니다
의 상호 작용을 고려하였다,의 상호 작용을 고려하였습니다
어 도주하면 회사가 가로챘다,어 도주하면 회사가 가로챘입니다
나 조력자를 단기간에 찾기란 어려운 일이었다,나 조력자를 단기간에 찾기란 어려운 일이었습니다
 중국 러시아 특허도 출원했다, 중국 러시아 특허도 출원했습니다
하는 방법의 일환이다,하는 방법의 일환입니다
 문헌분석도 당연히 포함되었다, 문헌분석도 당연히 포함되었습니다
 1과 유사하다, 1과 유사합니다
 같은 불확실한 선 가정들을 전제한다, 같은 불확실한 선 가정들을 전제합니다
 2014년부터 의무화로 전환되었다, 2014년부터 의무화로 전환되었습니다
취직이 안 된다,취직이 안 됩니다
 풍부한 교사들에게도 해당된다, 풍부한 교사들에게도 해당됩니다
요소와 늘 함께 제시된다,요소와 늘 함께 제시됩니다
면 인수액의 5를 세액공제한다,면 인수액의 5를 세액공제합니다
할 수 있다,할 수 있습니다
만 그 시스템에 국한되지 않는다,만 그 시스템에 국한되지 않습니다
에 안보 유지를 내용으로 한다,에 안보 유지를 내용으로 합니다
처벌 및 처벌절차를 두고 있다,처벌 및 처벌절차를 두고 있습니다
 된다, 됩니다
,다
되는 분야라는 점에서 주목을 받았다,되는 분야라는 점에서 주목을 받았습니다
인 해를 찾을 것을 요구하지는 않는다,인 해를 찾을 것을 요구하지는 않습니다
나라는 이에 비해 48배 수준이다,나라는 이에 비해 48배 수준입니다
둘 중 올바른 방향을 오른손규칙으로 정한다,둘 중 올바른 방향을 오른손규칙으로 정합니다
의 승인을 거쳐야 한다,의 승인을 거쳐야 합니다
신경이 쓰이는 결과이다,신경이 쓰이는 결과입니다
많이 났다,많이 났습니다
가한다,가합니다
 수 있다, 수 있습니다
친다고 할 수 있다,친다고 할 수 있습니다
 대상으로 하는 행위라는 관점이 가능하였다, 대상으로 하는 행위라는 관점이 가능하였습니다
않지만 마침내 옳은 것으로 판명된다,않지만 마침내 옳은 것으로 판명됩니다
험에 대해 말해 줄 때만 쓸모가 있다,험에 대해 말해 줄 때만 쓸모가 있습니다
은 시간이 존재할 수 있다,은 시간이 존재할 수 있습니다
은 A가 될 것이다,은 A가 될 것입니다
 절약할 수 있다, 절약할 수 있습니다
도적 미비점을 재검토해 볼 필요가 있다,도적 미비점을 재검토해 볼 필요가 있습니다
지 호황을 유지하다,지 호황을 유지합니다
가 없었다,가 없었습니다
출하고 관광객을 유치하고 있다,출하고 관광객을 유치하고 있습니다
보는 시선도 있는 것 같다,보는 시선도 있는 것 같습니다
 초래할 수 있다는 단점이 있다, 초래할 수 있다는 단점이 있습니다
주어진 문제를 이해하는 것이 선행되어야 한다,주어진 문제를 이해하는 것이 선행되어야 합니다
 있다, 있습니다
사전달의 성패가 달라진다,사전달의 성패가 달라집니다
전시키고 있다,전시키고 있습니다
무용을 접하게 되었다,무용을 접하게 되었습니다
대표적인 성공사례로 알려져 있다,대표적인 성공사례로 알려져 있습니다
취소에 대한 판단을 받을 수없다,취소에 대한 판단을 받을 수없습니다
 집단과의 비교를 통해서 검증된다, 집단과의 비교를 통해서 검증됩니다
고 할 것이다,고 할 것입니다
로 간주하기에는 부족함이 있다,로 간주하기에는 부족함이 있습니다
지고 있는 것으로 나타났다,지고 있는 것으로 나타났습니다
관한 직접적 규정은 없는 것이다,관한 직접적 규정은 없는 것입니다
은 아니다,은 아닙니다
영하면서 자신만의 더늠을 창작하게 되었다,영하면서 자신만의 더늠을 창작하게 되었습니다
준으로 최대 60bp까지의 값을 갖는다,준으로 최대 60bp까지의 값을 갖습니다
도 서술될 수 있다,도 서술될 수 있습니다
 위해 GIS 공간정보시스템을 연계하였다, 위해 GIS 공간정보시스템을 연계하였습니다
 유한할 것이다, 유한할 것입니다
동일한 접근성을 가지는 경우이다,동일한 접근성을 가지는 경우입니다
 혁신을 위해서 노력한다, 혁신을 위해서 노력합니다
여 결론 ¬q를 얻는다,여 결론 ¬q를 얻습니다
감이 가장 높은 상관관계를 보여 주었다,감이 가장 높은 상관관계를 보여 주었습니다
슷한 평균값을 보였다,슷한 평균값을 보였습니다
능케 한다,능케 합니다
만 성립함을 의미한다,만 성립함을 의미합니다
 어떤 의미를 던져주는가, 어떤 의미를 던져주는가
조례로 조정할 수 없다,조례로 조정할 수 없습니다
년도 세입 예산안 조정이 병행되어야 했다,년도 세입 예산안 조정이 병행되어야 했습니다
의 해석을 거쳐 재배열된다,의 해석을 거쳐 재배열됩니다
는 완전히 다르다,는 완전히 다릅니다
고 테크네도 아닌 독자성을 가진다,고 테크네도 아닌 독자성을 가집니다
나 배타적 지배를 침해할 수 없다,나 배타적 지배를 침해할 수 없습니다
아니고 다른 나라에서도 크게 다르지 않다,아니고 다른 나라에서도 크게 다르지 않습니다
 될 만큼 지나치게 크다, 될 만큼 지나치게 큽니다
하는 길을 찾는 것이다,하는 길을 찾는 것입니다
 은폐되기 쉽다고 보았다, 은폐되기 쉽다고 보았습니다
 있을 수 있다, 있을 수 있습니다
 될 것이다, 될 것입니다
시 반공주의에 따라 작곡된 곡이다,시 반공주의에 따라 작곡된 곡입니다
의 일환으로 행하는 것이기 때문이다,의 일환으로 행하는 것이기 때문입니다
수정될 수 있다,수정될 수 있습니다
따라서 다소 다르다,따라서 다소 다릅니다
고 합리적인 사유를 말한다,고 합리적인 사유를 말합니다
 자아를 둘러싸고 있는 부속물로 여겨졌다, 자아를 둘러싸고 있는 부속물로 여겨졌습니다
고 할 수 있다,고 할 수 있습니다
도에 정적인 영향을 미칠 것이다,도에 정적인 영향을 미칠 것입니다
리학자의 시각을 우회적으로 비판하기도 한다,리학자의 시각을 우회적으로 비판하기도 합니다
불가능한 점과 비교되는 부분이다,불가능한 점과 비교되는 부분입니다
의 사고이다,의 사고입니다
경우를 환수대상에 포함시키기도 했다,경우를 환수대상에 포함시키기도 했습니다
에 해당한다,에 해당합니다
중요하다,중요합니다
,다
는지 살펴본다,는지 살펴봅니다
 소비 지출에 사용한다고 가정하자,소비 지출에 사용한다고 가정합시다
본격적으로 추진되기 시작하였다,본격적으로 추진되기 시작하였습니다
의 요소별로 비교할 수 있도록 정리한 것이다,의 요소별로 비교할 수 있도록 정리한 것입니다
행하는 작법무이다,행하는 작법무입니다
중하여 부모역할을 이해하려 시도하였다,중하여 부모역할을 이해하려 시도하였습니다
해 의류와 가전제품이 높게 지각되었다,해 의류와 가전제품이 높게 지각되었습니다
 국면에서 재심을 통해 무죄가 확정되었다, 국면에서 재심을 통해 무죄가 확정되었습니다
윤마진을 할증함으로써 재화가격을 결정한다,윤마진을 할증함으로써 재화가격을 결정합니다
른 대상들과 구분할 수 있어야 한다,른 대상들과 구분할 수 있어야 합니다
 더 선호하였다, 더 선호하였습니다
거래는 소요시간이 10분에 불과하다,거래는 소요시간이 10분에 불과합니다
 제출하여야 한다, 제출하여야 합니다
용하는 중에 나타난 사건이다,용하는 중에 나타난 사건입니다
토대로 메이커 스페이스라는 공간이 요구된다,토대로 메이커 스페이스라는 공간이 요구됩니다
플레이션에 영향을 미치지 못한다,플레이션에 영향을 미치지 못합니다
 이해할 수 있는 수업을 목표로 했다, 이해할 수 있는 수업을 목표로 했습니다
업의 총경리와 동사장을 동시에 고려하고 있다,업의 총경리와 동사장을 동시에 고려하고 있습니다
 구성하며Likert 5점 척도로 구성하였다, 구성하며Likert 5점 척도로 구성하였습니다
고 해명했다,고 해명했습니다
소개를 간단히 했다,소개를 간단히 했습니다
유적을 발굴 조사하였다,유적을 발굴 조사하였습니다
성과라고 하겠다,성과라고 하겠습니다
로자 간의 소득 격차를 더욱 심화시킨다,로자 간의 소득 격차를 더욱 심화시킵니다
 삶의 질을 급격하게 떨어뜨리게 된다, 삶의 질을 급격하게 떨어뜨리게 됩니다
어진 것이 특징이다,어진 것이 특징입니다
 되었다, 되었습니다
하기로 결정하면 소송이 시작될 수도 있다,하기로 결정하면 소송이 시작될 수도 있습니다
 전조를 유도한다, 전조를 유도합니다
다발적으로 시시각각 변화하며 발생한다,다발적으로 시시각각 변화하며 발생합니다
만족도에 대한 질문에 답한다,만족도에 대한 질문에 답합니다
고 주장하는 사람이 있다,고 주장하는 사람이 있습니다
 창이 디지털영상과 어우러진다, 창이 디지털영상과 어우러집니다
행 원리로 파악하고 있다,행 원리로 파악하고 있습니다
도 마찬가지로 도덕법칙이 있다는 것이다,도 마찬가지로 도덕법칙이 있다는 것입니다
는다,습니다
미치지 못하고 있다,미치지 못하고 있습니다
악하는 것은 매우 중요하다,악하는 것은 매우 중요합니다
상계관세 조사가 지속적으로 늘어나고 있다,상계관세 조사가 지속적으로 늘어나고 있습니다
화하는지 보일 수 있다,화하는지 보일 수 있습니다
 실험 절차는 표 2와 같다, 실험 절차는 표 2와 같습니다
 상관이 존재할 가능성이 있다, 상관이 존재할 가능성이 있습니다
 앞지르고 있다, 앞지르고 있습니다
로 규정한다,로 규정합니다
현할지에 대해서는 서로 동의하지 않았다,현할지에 대해서는 서로 동의하지 않았습니다
산하기 쉽지 않다,산하기 쉽지 않습니다
가 될 수 있다는 의미이기도 하다,가 될 수 있다는 의미이기도 합니다
이행 비용을 전기요금에 반영할 필요가 있다,이행 비용을 전기요금에 반영할 필요가 있습니다
황적 변화에 대응해야 하는 입장에 놓여 있다,황적 변화에 대응해야 하는 입장에 놓여 있습니다
아졌음을 확인하였다,아졌음을 확인하였습니다
의 개호 보험과 비슷한 점이 많다,의 개호 보험과 비슷한 점이 많습니다
을 형성하기 위한 작은 부분들이다,을 형성하기 위한 작은 부분들입니다
을 타고 갈 사람이 아니다,을 타고 갈 사람이 아닙니다
도 한다,도 합니다
등 동일한 잣대로 평가하기에는 무리가 있다,등 동일한 잣대로 평가하기에는 무리가 있습니다
측정한다,측정합니다
 기준이다, 기준입니다
도가 더 빠르게 나타났다,도가 더 빠르게 나타났습니다
 변수들의 시계열 안정성을 검정한다, 변수들의 시계열 안정성을 검정합니다
 핵심 교육 목표를 재공지하였다, 핵심 교육 목표를 재공지하였습니다
과와 상관관계가 크지 않는 것으로 분석되었다,과와 상관관계가 크지 않는 것으로 분석되었습니다
장 큰 문제이다,장 큰 문제입니다
수를 작성하는 도면 환경을 설명하고 있다,수를 작성하는 도면 환경을 설명하고 있습니다
하기 시작하는 나이이다,하기 시작하는 나이입니다
중증 환자에게 투여되고 있다,중증 환자에게 투여되고 있습니다
해 차입을 할 수 있다,해 차입을 할 수 있습니다
지 아니하여 즉시 확정의 이익이 없다,지 아니하여 즉시 확정의 이익이 없습니다
고 한다,고 합니다
것을 가정하였다,것을 가정하였습니다
게 볼 수 있다,게 볼 수 있습니다
대한 구성원의 인식이다,대한 구성원의 인식입니다
 교사의 인정으로 대해 줄 것을 제안하였다, 교사의 인정으로 대해 줄 것을 제안하였습니다
의 가설이 유의하게 지지되었다,의 가설이 유의하게 지지되었습니다
와 활용의 환경을 제시해 주는 것은 아니다,와 활용의 환경을 제시해 주는 것은 아닙니다
동공급 탄력성을 고려하는 것이 쉽지 않다,동공급 탄력성을 고려하는 것이 쉽지 않습니다
를 사용하였다,를 사용하였습니다
실시되었다,실시되었습니다
 사실에는 이견이 없다, 사실에는 이견이 없습니다
하락하면 주택에 대한 수요가 증가한다,하락하면 주택에 대한 수요가 증가합니다
여 원천징수를 하지 않게 되었다,여 원천징수를 하지 않게 되었습니다
수준을 유지한다,수준을 유지합니다
대 등 노동시장이 과거보다 유연해진 덕분이다,대 등 노동시장이 과거보다 유연해진 덕분입니다
으로 나누려 하는 동영상이 있다,으로 나누려 하는 동영상이 있습니다
헌을 검토하는 것이 필요하다,헌을 검토하는 것이 필요합니다
분이다,분입니다
 비율도 182로 높았다, 비율도 182로 높았습니다
입을 시도하였었다,입을 시도하였었습니다
향에서 벗어나게 될 것이다,향에서 벗어나게 될 것입니다
다는 회의적인 입장도 없지 않다,다는 회의적인 입장도 없지 않습니다
는 음반 매장이다,는 음반 매장입니다
 시범 운영의 검토도 필요할 수 있다, 시범 운영의 검토도 필요할 수 있습니다
었다,었습니다
수 없는 것들에 대해 살펴보겠다,수 없는 것들에 대해 살펴보겠습니다
 영상 작업이 활발하게 진행되기 시작했다, 영상 작업이 활발하게 진행되기 시작했습니다
달러를 만들 수 있는 방법은 몇 가지일까,달러를 만들 수 있는 방법은 몇 가지일까
내세운다,내세운입니다
국대전주해를 지칭한 것이다,국대전주해를 지칭한 것입니다
 손금산입을 허용하지 않는 것이 타당하다, 손금산입을 허용하지 않는 것이 타당합니다
가가치 규모 역시 정체되고 있다,가가치 규모 역시 정체되고 있습니다
과의 상의만으로 처리되었다,과의 상의만으로 처리되었습니다
,다
포함된 문장이다,포함된 문장입니다
다,니다
 질 수 있다, 질 수 있습니다
 살펴보고자 한다, 살펴보고자 합니다
논의되는 맥락에 대하여 검토해 보고자 한다,논의되는 맥락에 대하여 검토해 보고자 합니다
명 아니다,명 아닙니다
의미의 행위 단일성을 이룬다,의미의 행위 단일성을 이룹니다
 된 역할 모델을 할 수 없는 현실이다, 된 역할 모델을 할 수 없는 현실입니다
고 새롭게 해석하였다,고 새롭게 해석하였습니다
지 진동수의 소리를 들을 수 있다,지 진동수의 소리를 들을 수 있습니다
이한 특징을 가지고 있다,이한 특징을 가지고 있습니다
가로 구분하였다,가로 구분하였습니다
면이다,면입니다
고 불리기도 한다,고 불리기도 합니다
과실책임이다,과실책임입니다
계가 존재하지 아니한다,계가 존재하지 아니합니다
의 방법론을 토대로 측정하였다,의 방법론을 토대로 측정하였습니다
되는 삼차원적인 너비나 공간이 아니다,되는 삼차원적인 너비나 공간이 아닙니다
 나온 방사선에 피폭당했다, 나온 방사선에 피폭당했습니다
같다,같습니다
미를 갖는다,미를 갖습니다
두 연결되어 있다,두 연결되어 있습니다
적인 변인도 동시에 고려되어야 할 것이다,적인 변인도 동시에 고려되어야 할 것입니다
후속 작업이 가지는 의미가 매우 크다,후속 작업이 가지는 의미가 매우 큽니다
